조 번호,조항 번호,조(키워드),요약 내용,통합 내용
제37조,제37조 1항,제37조(지연 이자),임금 및 퇴직금 지급 지연 시 그 다음 날부터 지급일까지 연 20%의 지연이자를 반드시 가산하여 지급해야 한다.,제37조(지연 이자) 임금 및 퇴직금 지급 지연 시 그 다음 날부터 지급일까지 연 20%의 지연이자를 반드시 가산하여 지급해야 한다.
제37조,제37조 1항 1호,제37조(청산 지연),제36조에 따른 금품 청산 의무를 위반하여 지급 사유 발생 후 14일이 지나면 즉시 지연이자가 발생한다.,제37조(청산 지연) 제36조에 따른 금품 청산 의무를 위반하여 지급 사유 발생 후 14일이 지나면 즉시 지연이자가 발생한다.
제37조,제37조 1항 2호,제37조(정기급 지연),제43조에 따른 정기 임금을 정해진 날짜에 지급하지 않은 경우에도 법정 지연이자를 가산하여 지급할 의무가 있다.,제37조(정기급 지연) 제43조에 따른 정기 임금을 정해진 날짜에 지급하지 않은 경우에도 법정 지연이자를 가산하여 지급할 의무가 있다.
제37조,제37조 2항,제37조(퇴직 후 이자),임금 지급 지연 중 근로자가 퇴직한 경우에도 지연이자 지급 의무는 지속되며 사용자는 이를 면제받을 수 없다.,제37조(퇴직 후 이자) 임금 지급 지연 중 근로자가 퇴직한 경우에도 지연이자 지급 의무는 지속되며 사용자는 이를 면제받을 수 없다.
제37조,제37조 3항,제37조(적용 제외),천재지변 등 부득이한 사유가 존속하는 기간에는 지연이자 적용을 일시 제외할 수 있으나 사유 종료 시 즉시 지급해야 한다.,제37조(적용 제외) 천재지변 등 부득이한 사유가 존속하는 기간에는 지연이자 적용을 일시 제외할 수 있으나 사유 종료 시 즉시 지급해야 한다.
제38조,제38조 1항,제38조(우선 변제),임금 등 근로 관계 채권은 사용자의 총재산에서 담보 채권을 제외한 다른 채권보다 우선하여 변제되어야 한다.,제38조(우선 변제) 임금 등 근로 관계 채권은 사용자의 총재산에서 담보 채권을 제외한 다른 채권보다 우선하여 변제되어야 한다.
제38조,제38조 2항,제38조(최우선 변제),최종 3개월분 임금과 퇴직금은 담보 채권보다도 최우선적으로 변제되어야 하며 사용자는 이 자금을 최우선 확보해야 한다.,제38조(최우선 변제) 최종 3개월분 임금과 퇴직금은 담보 채권보다도 최우선적으로 변제되어야 하며 사용자는 이 자금을 최우선 확보해야 한다.
제39조,제39조 1항,제39조(사용증명서),"퇴직 후 근로자가 사용 기간, 임금 등을 적은 증명서를 청구하면 사용자는 사실대로 작성하여 즉시 교부해야 한다.","제39조(사용증명서) 퇴직 후 근로자가 사용 기간, 임금 등을 적은 증명서를 청구하면 사용자는 사실대로 작성하여 즉시 교부해야 한다."
제39조,제39조 2항,제39조(기재 한정),"사용증명서에는 근로자가 요구한 사항만을 적어야 하며, 근로자에게 불리한 정보를 임의로 기재하는 행위를 금지한다.","제39조(기재 한정) 사용증명서에는 근로자가 요구한 사항만을 적어야 하며, 근로자에게 불리한 정보를 임의로 기재하는 행위를 금지한다."
제40조,제40조,제40조(취업 방해),누구든지 근로자의 취업을 방해할 목적으로 비밀 기호나 명부를 작성·사용하거나 통신하는 행위를 절대 금지한다.,제40조(취업 방해) 누구든지 근로자의 취업을 방해할 목적으로 비밀 기호나 명부를 작성·사용하거나 통신하는 행위를 절대 금지한다.
제41조,제41조 1항,제41조(근로자 명부),사용자는 각 사업장별로 근로자의 인적 사항과 이력 등을 기록한 근로자 명부를 반드시 작성하고 관리할 의무가 있다.,제41조(근로자 명부) 사용자는 각 사업장별로 근로자의 인적 사항과 이력 등을 기록한 근로자 명부를 반드시 작성하고 관리할 의무가 있다.
제41조,제41조 2항,제41조(명부 정정),근로자 명부에 적을 사항이 변경된 경우 사용자는 지체 없이 이를 정정하여 최신 정보를 유지해야 한다.,제41조(명부 정정) 근로자 명부에 적을 사항이 변경된 경우 사용자는 지체 없이 이를 정정하여 최신 정보를 유지해야 한다.
제42조,제42조,제42조(서류 보존),사용자는 근로자 명부와 근로계약에 관한 중요한 서류를 3년간 반드시 보존해야 하며 임의 폐기나 분실을 금지한다.,제42조(서류 보존) 사용자는 근로자 명부와 근로계약에 관한 중요한 서류를 3년간 반드시 보존해야 하며 임의 폐기나 분실을 금지한다.
제43조,제43조 1항,제43조(임금 지급),"임금은 통화로 근로자에게 직접 전액을 지급해야 하며, 법령 또는 협약 없이 임의로 공제하거나 상계할 수 없다.","제43조(임금 지급) 임금은 통화로 근로자에게 직접 전액을 지급해야 하며, 법령 또는 협약 없이 임의로 공제하거나 상계할 수 없다."
제43조,제43조 2항,제43조(정기 지급),"임금은 매월 1회 이상 일정한 날짜를 정하여 지급해야 하며, 사용자는 지급 기일을 임의로 변경하거나 미룰 수 없다.","제43조(정기 지급) 임금은 매월 1회 이상 일정한 날짜를 정하여 지급해야 하며, 사용자는 지급 기일을 임의로 변경하거나 미룰 수 없다."
제43조,제43조,제43조(최저임금),"사용자는 최저임금법에 따른 최저임금액 이상의 임금을 반드시 지급해야 하며, 이를 이유로 종전 임금을 낮출 수 없다.","제43조(최저임금) 사용자는 최저임금법에 따른 최저임금액 이상의 임금을 반드시 지급해야 하며, 이를 이유로 종전 임금을 낮출 수 없다."
제43조,제43조의2 1항,제43조(명단 공개),"상습 체불 사업주의 명단을 공개하여 사회적 제재를 가할 수 있으며, 사용자는 체불로 인한 명단 공개를 거부할 수 없다.","제43조(명단 공개) 상습 체불 사업주의 명단을 공개하여 사회적 제재를 가할 수 있으며, 사용자는 체불로 인한 명단 공개를 거부할 수 없다."
제43조,제43조의2 2항,제43조(소명 기회),"명단 공개 전 사업주에게 3개월 이상의 소명 기회를 주어야 하며, 사용자는 이 기간 내에 체불 해결 노력을 증명해야 한다.","제43조(소명 기회) 명단 공개 전 사업주에게 3개월 이상의 소명 기회를 주어야 하며, 사용자는 이 기간 내에 체불 해결 노력을 증명해야 한다."
제43조,제43조의2 3항,제43조(심의위),"명단 공개 여부를 심의하기 위해 임금체불정보심의위원회를 두며, 사용자는 위원회의 결정에 따라 명단이 공개될 수 있다.","제43조(심의위) 명단 공개 여부를 심의하기 위해 임금체불정보심의위원회를 두며, 사용자는 위원회의 결정에 따라 명단이 공개될 수 있다."
제43조,제43조의2 4항,제43조(공무원 의제),"심의위원회 위원 중 민간위원도 벌칙 적용 시 공무원으로 보며, 사용자는 위원에게 부정한 청탁을 하거나 뇌물을 줄 수 없다.","제43조(공무원 의제) 심의위원회 위원 중 민간위원도 벌칙 적용 시 공무원으로 보며, 사용자는 위원에게 부정한 청탁을 하거나 뇌물을 줄 수 없다."
제43조,제43조의2 5항,제43조(공개 방법),"명단 공개의 구체적인 내용과 방법은 대통령령을 따르며, 사용자는 정해진 법적 절차에 따른 공개를 방해할 수 없다.","제43조(공개 방법) 명단 공개의 구체적인 내용과 방법은 대통령령을 따르며, 사용자는 정해진 법적 절차에 따른 공개를 방해할 수 없다."
제43조,제43조의3 1항,제43조(자료 제공),"체불 사업주의 인적 사항과 체불액 자료를 신용정보집중기관에 제공할 수 있으며, 사용자는 신용상 불이익을 감수해야 한다.","제43조(자료 제공) 체불 사업주의 인적 사항과 체불액 자료를 신용정보집중기관에 제공할 수 있으며, 사용자는 신용상 불이익을 감수해야 한다."
제43조,제43조의3 1항 1호,제43조(제공 기준),"3년 이내 2회 이상 체불하고 총액이 2천만 원 이상인 경우 자료를 제공하며, 사용자는 체불 누적에 주의할 의무가 있다.","제43조(제공 기준) 3년 이내 2회 이상 체불하고 총액이 2천만 원 이상인 경우 자료를 제공하며, 사용자는 체불 누적에 주의할 의무가 있다."
제43조,제43조의3 1항 2호,제43조(상습 체불),"상습 체불로 보조금 지원 제한 대상이 된 사업주의 자료를 제공할 수 있으며, 사용자는 상습적인 체불 행위를 중단해야 한다.","제43조(상습 체불) 상습 체불로 보조금 지원 제한 대상이 된 사업주의 자료를 제공할 수 있으며, 사용자는 상습적인 체불 행위를 중단해야 한다."
제43조,제43조의3 2항,제43조(목적 외 금지),제공받은 체불 자료를 신용도 판단 외의 목적으로 이용하거나 누설하는 행위를 엄격히 금지한다.,제43조(목적 외 금지) 제공받은 체불 자료를 신용도 판단 외의 목적으로 이용하거나 누설하는 행위를 엄격히 금지한다.
제43조,제43조의3 3항,제43조(제공 절차),"자료 제공의 세부 절차는 대통령령을 따르며, 사용자는 법적 근거에 따른 정보 제공에 대하여 사실대로 협조해야 한다.","제43조(제공 절차) 자료 제공의 세부 절차는 대통령령을 따르며, 사용자는 법적 근거에 따른 정보 제공에 대하여 사실대로 협조해야 한다."
제43조,제43조의4 1항,제43조(보조 제한),"상습 체불 사업주에 대하여 국가나 지자체의 보조금 및 지원금 지급을 제한하며, 사용자는 부당한 지원을 청구할 수 없다.","제43조(보조 제한) 상습 체불 사업주에 대하여 국가나 지자체의 보조금 및 지원금 지급을 제한하며, 사용자는 부당한 지원을 청구할 수 없다."
제43조,제43조의4 1항 1호,제43조(제한 대상),"1년간 3개월분 이상의 임금을 체불한 경우 보조금 지원을 제한하며, 사용자는 안정적인 임금 지급 의무를 다해야 한다.","제43조(제한 대상) 1년간 3개월분 이상의 임금을 체불한 경우 보조금 지원을 제한하며, 사용자는 안정적인 임금 지급 의무를 다해야 한다."
제43조,제43조의4 1항 2호,제43조(반복 체불),"1년간 5회 이상 체불하고 총액이 3천만 원 이상인 경우 지원을 제한하며, 사용자는 반복적 체불 습관을 근절해야 한다.","제43조(반복 체불) 1년간 5회 이상 체불하고 총액이 3천만 원 이상인 경우 지원을 제한하며, 사용자는 반복적 체불 습관을 근절해야 한다."
제43조,제43조의4 2항,제43조(소명 기회),"명단 공개 전 사업주에게 3개월 이상의 소명 기회를 주어야 하며, 사용자는 이 기간 내에 체불 해결 노력을 증명해야 한다.","제43조(소명 기회) 명단 공개 전 사업주에게 3개월 이상의 소명 기회를 주어야 하며, 사용자는 이 기간 내에 체불 해결 노력을 증명해야 한다."
제43조,제43조의4 3항,제43조(기관 통보),"고용노동부장관은 상습 체불 자료를 관련 기관에 제공해야 하며, 사용자는 기관 간 정보 공유를 통한 제재를 피할 수 없다.","제43조(기관 통보) 고용노동부장관은 상습 체불 자료를 관련 기관에 제공해야 하며, 사용자는 기관 간 정보 공유를 통한 제재를 피할 수 없다."
제43조,제43조의4 3항 (중복),제43조(지원 배제),중앙행정기관 등은 상습 체불 사업주를 각종 지원 사업에서 배제해야 할 의무가 있으며 우대 조치를 취할 수 없다.,제43조(지원 배제) 중앙행정기관 등은 상습 체불 사업주를 각종 지원 사업에서 배제해야 할 의무가 있으며 우대 조치를 취할 수 없다.
제43조,제43조의4 3항 (중복),제43조(공공 입찰),"공공기관은 상습 체불 사업주의 입찰 참여를 제한하거나 감점해야 하며, 사용자는 공공 사업 참여를 위해 체불을 청산해야 한다.","제43조(공공 입찰) 공공기관은 상습 체불 사업주의 입찰 참여를 제한하거나 감점해야 하며, 사용자는 공공 사업 참여를 위해 체불을 청산해야 한다."
제43조,제43조의4 4항,제43조(누설 금지),"제공받은 상습 체불 자료를 목적 외로 이용하거나 누설해서는 안 되며, 자료 관리자는 정보 보호 의무를 엄격히 지켜야 한다.","제43조(누설 금지) 제공받은 상습 체불 자료를 목적 외로 이용하거나 누설해서는 안 되며, 자료 관리자는 정보 보호 의무를 엄격히 지켜야 한다."
제43조,제43조의4 5항,제43조(준용 규정),"자료 제공 절차는 제43조의3 규정을 준용하며, 사용자는 정해진 법적 기준에 따른 행정 처분을 따라야 한다.","제43조(준용 규정) 자료 제공 절차는 제43조의3 규정을 준용하며, 사용자는 정해진 법적 기준에 따른 행정 처분을 따라야 한다."
제43조,제43조의4 6항,제43조(산정 기준),"임금 체불 횟수 및 금액 산정의 구체적 기준은 대통령령을 따르며, 사용자는 산정 결과에 대해 사실 여부를 확인해야 한다.","제43조(산정 기준) 임금 체불 횟수 및 금액 산정의 구체적 기준은 대통령령을 따르며, 사용자는 산정 결과에 대해 사실 여부를 확인해야 한다."
제43조,제43조의5 1항,제43조(업무 위탁),"체불 관리 업무를 근로복지공단 등에 위탁할 수 있으며, 사용자는 위탁 기관의 적법한 업무 수행 및 요구에 응해야 한다.","제43조(업무 위탁) 체불 관리 업무를 근로복지공단 등에 위탁할 수 있으며, 사용자는 위탁 기관의 적법한 업무 수행 및 요구에 응해야 한다."
제43조,제43조의5 2항,제43조(공무원 의제),"심의위원회 위원 중 민간위원도 벌칙 적용 시 공무원으로 보며, 사용자는 위원에게 부정한 청탁을 하거나 뇌물을 줄 수 없다.","제43조(공무원 의제) 심의위원회 위원 중 민간위원도 벌칙 적용 시 공무원으로 보며, 사용자는 위원에게 부정한 청탁을 하거나 뇌물을 줄 수 없다."
제43조,제43조의6 1항,제43조(자료 요청),"명단 공개 등을 위해 국세청, 공단 등에 자료를 요청할 수 있으며, 사용자는 관련 기관의 자료 제출을 방해할 수 없다.","제43조(자료 요청) 명단 공개 등을 위해 국세청, 공단 등에 자료를 요청할 수 있으며, 사용자는 관련 기관의 자료 제출을 방해할 수 없다."
제43조,제43조의6 1항 (중복),제43조(세무 정보),"사업주 소득 및 국세 체납 정보를 요청할 수 있으며, 사용자는 세무 관련 정보를 은폐하여 체불 책임을 회피할 수 없다.","제43조(세무 정보) 사업주 소득 및 국세 체납 정보를 요청할 수 있으며, 사용자는 세무 관련 정보를 은폐하여 체불 책임을 회피할 수 없다."
제43조,제43조의6 1항 (중복),제43조(사회보험),"고용보험, 산재보험 가입 및 보수 자료를 요청할 수 있으며, 사용자는 보험료 산정 자료를 사실대로 유지할 의무가 있다.","제43조(사회보험) 고용보험, 산재보험 가입 및 보수 자료를 요청할 수 있으며, 사용자는 보험료 산정 자료를 사실대로 유지할 의무가 있다."
제43조,제43조의6 1항 (중복),제43조(건강보험),"건강보험 및 국민연금 보수 자료를 활용할 수 있으며, 사용자는 근로자의 소득 정보를 허위로 보고하거나 누락해서는 안 된다.","제43조(건강보험) 건강보험 및 국민연금 보수 자료를 활용할 수 있으며, 사용자는 근로자의 소득 정보를 허위로 보고하거나 누락해서는 안 된다."
제43조,제43조의6 1항 (중복),제43조(가족관계),"필요한 경우 가족관계 정보를 요청할 수 있으며, 사용자는 재산 은닉을 위한 가족 관계 악용 행위를 중단해야 한다.","제43조(가족관계) 필요한 경우 가족관계 정보를 요청할 수 있으며, 사용자는 재산 은닉을 위한 가족 관계 악용 행위를 중단해야 한다."
제43조,제43조의6 2항,제43조(범위 제한),"자료 요청은 명단 공개 등에 필요한 최소한의 범위로 한정하며, 사용자의 개인정보를 목적 외로 남용하는 것을 금지한다.","제43조(범위 제한) 자료 요청은 명단 공개 등에 필요한 최소한의 범위로 한정하며, 사용자의 개인정보를 목적 외로 남용하는 것을 금지한다."
제43조,제43조의6 3항,제43조(협조 의무),"자료 요청을 받은 기관은 정당한 사유 없이 거부할 수 없으며, 사용자는 유관 기관의 적법한 정보 공유를 수용해야 한다.","제43조(협조 의무) 자료 요청을 받은 기관은 정당한 사유 없이 거부할 수 없으며, 사용자는 유관 기관의 적법한 정보 공유를 수용해야 한다."
제43조,제43조의7 1항,제43조(출국 금지),"명단 공개 사업주가 해외 도피 우려가 있는 경우 출국 금지를 요청할 수 있으며, 사용자는 출국 제한 조치를 수용해야 한다.","제43조(출국 금지) 명단 공개 사업주가 해외 도피 우려가 있는 경우 출국 금지를 요청할 수 있으며, 사용자는 출국 제한 조치를 수용해야 한다."
제43조,제43조의7 2항,제43조(통보 의무),"법무부장관은 출국 금지 결과를 고용노동부에 통보해야 하며, 사용자는 국가 기관 간의 공조 체계에 따른 제재를 받게 된다.","제43조(통보 의무) 법무부장관은 출국 금지 결과를 고용노동부에 통보해야 하며, 사용자는 국가 기관 간의 공조 체계에 따른 제재를 받게 된다."
제43조,제43조의7 3항,제43조(해제 요청),"체불 임금 청산 등으로 사유가 없어지면 즉시 출국 금지 해제를 요청해야 하며, 사용자는 청산을 통해 권리를 회복할 수 있다.","제43조(해제 요청) 체불 임금 청산 등으로 사유가 없어지면 즉시 출국 금지 해제를 요청해야 하며, 사용자는 청산을 통해 권리를 회복할 수 있다."
제43조,제43조의7 4항,제43조(세부 절차),"출국 금지 요청 및 해제 절차는 대통령령을 따르며, 사용자는 법에 정해진 절차 외의 부당한 방법으로 출국을 시도할 수 없다.","제43조(세부 절차) 출국 금지 요청 및 해제 절차는 대통령령을 따르며, 사용자는 법에 정해진 절차 외의 부당한 방법으로 출국을 시도할 수 없다."
제43조,제43조의8 1항,제43조(배상 청구),"고의나 상습 체불 시 근로자는 체불액의 3배 이내 손해배상을 청구할 수 있으며, 사용자는 징벌적 배상 책임을 져야 한다.","제43조(배상 청구) 고의나 상습 체불 시 근로자는 체불액의 3배 이내 손해배상을 청구할 수 있으며, 사용자는 징벌적 배상 책임을 져야 한다."
제43조,제43조의8 1항 1호,제43조(고의 체불),"명백한 고의로 임금을 지급하지 않은 경우 손해배상 대상이 되며, 사용자는 고의적인 지급 거부 행위를 절대 해서는 안 된다.","제43조(고의 체불) 명백한 고의로 임금을 지급하지 않은 경우 손해배상 대상이 되며, 사용자는 고의적인 지급 거부 행위를 절대 해서는 안 된다."
제43조,제43조의8 1항 2호,제43조(상습 기준),"1년 동안 3개월 이상 임금을 체불한 경우 배상 대상이 되며, 사용자는 상습적인 지급 지연에 대한 무거운 책임을 져야 한다.","제43조(상습 기준) 1년 동안 3개월 이상 임금을 체불한 경우 배상 대상이 되며, 사용자는 상습적인 지급 지연에 대한 무거운 책임을 져야 한다."
제43조,제43조의8 1항 3호,제43조(금액 기준),"체불 총액이 3개월분 통상임금에 해당하면 배상 대상이 되며, 사용자는 고액 체불이 발생하지 않도록 경영 책임을 다해야 한다.","제43조(금액 기준) 체불 총액이 3개월분 통상임금에 해당하면 배상 대상이 되며, 사용자는 고액 체불이 발생하지 않도록 경영 책임을 다해야 한다."
제43조,제43조의8 2항,제43조(판단 고려),"법원은 배상액 결정 시 체불 기간, 경위, 횟수 등을 고려해야 하며, 사용자는 자신의 과실 정도에 따른 판결을 따라야 한다.","제43조(판단 고려) 법원은 배상액 결정 시 체불 기간, 경위, 횟수 등을 고려해야 하며, 사용자는 자신의 과실 정도에 따른 판결을 따라야 한다."
제43조,제43조의8 2항 1호,제43조(규모 고려),"체불 규모와 횟수를 주요 지표로 삼으며, 사용자는 대규모 또는 반복적 체불이 가중 처벌 대상임을 명심해야 한다.","제43조(규모 고려) 체불 규모와 횟수를 주요 지표로 삼으며, 사용자는 대규모 또는 반복적 체불이 가중 처벌 대상임을 명심해야 한다."
제43조,제43조의8 2항 2호,제43조(노력 고려),"임금 지급을 위한 사용자의 노력 정도를 참작하며, 사용자는 체불 해결을 위한 구체적인 실천 의지를 증명해야 한다.","제43조(노력 고려) 임금 지급을 위한 사용자의 노력 정도를 참작하며, 사용자는 체불 해결을 위한 구체적인 실천 의지를 증명해야 한다."
제43조,제43조의8 2항 3호,제43조(이자 고려),"제37조에 따른 지연이자 지급 여부를 고려하며, 사용자는 이자 지급 의무를 성실히 이행하여 배상액 감경 사유를 확보해야 한다.","제43조(이자 고려) 제37조에 따른 지연이자 지급 여부를 고려하며, 사용자는 이자 지급 의무를 성실히 이행하여 배상액 감경 사유를 확보해야 한다."
제43조,제43조의8 2항 4호,제43조(재산 상태),"사업주의 재산 상태를 고려하여 배상액을 결정하며, 사용자는 재산 은닉 없이 투명하게 보상 절차에 임해야 한다.","제43조(재산 상태) 사업주의 재산 상태를 고려하여 배상액을 결정하며, 사용자는 재산 은닉 없이 투명하게 보상 절차에 임해야 한다."
제44조,제44조 1항,제44조(도급 책임),"도급 시 하수급인의 체불이 직상 수급인의 귀책사유로 발생하면 연대 책임을 지며, 수급인은 임금 지급을 방해할 수 없다.","제44조(도급 책임) 도급 시 하수급인의 체불이 직상 수급인의 귀책사유로 발생하면 연대 책임을 지며, 수급인은 임금 지급을 방해할 수 없다."
제44조,제44조 2항,제44조(귀책 범위),"도급인의 귀책사유 범위는 대통령령을 따르며, 사용자는 하도급 구조를 악용하여 임금 지급 책임을 회피해서는 안 된다.","제44조(귀책 범위) 도급인의 귀책사유 범위는 대통령령을 따르며, 사용자는 하도급 구조를 악용하여 임금 지급 책임을 회피해서는 안 된다."
제44조,제44조의2 1항,제44조(건설업 책임),건설업 도급 시 무면허 수급인이 체불하면 건설사업자인 직상 수급인이 연대 책임을 지며 이를 거부할 수 없다.,제44조(건설업 책임) 건설업 도급 시 무면허 수급인이 체불하면 건설사업자인 직상 수급인이 연대 책임을 지며 이를 거부할 수 없다.
제44조,제44조의2 2항,제44조(상위 수급인),직상 수급인이 무면허일 경우 상위 수급인 중 최하위 면허 사업자가 책임을 지며 임금 지급 의무를 면할 수 없다.,제44조(상위 수급인) 직상 수급인이 무면허일 경우 상위 수급인 중 최하위 면허 사업자가 책임을 지며 임금 지급 의무를 면할 수 없다.
제44조,제44조의3 1항,제44조(직접 지급),하수급인의 파산 시 직상 수급인은 하도급 대금 범위 내에서 근로자에게 임금을 직접 지급해야 할 의무가 있다.,제44조(직접 지급) 하수급인의 파산 시 직상 수급인은 하도급 대금 범위 내에서 근로자에게 임금을 직접 지급해야 할 의무가 있다.
제44조,제44조의3 2항,제44조(상계 금지),하수급인이 근로자에게 지급해야 할 임금 채무는 직상 수급인에 대한 대금 채권과 임의로 상계할 수 없으며 전액 지급해야 한다.,제44조(상계 금지) 하수급인이 근로자에게 지급해야 할 임금 채무는 직상 수급인에 대한 대금 채권과 임의로 상계할 수 없으며 전액 지급해야 한다.
제44조,제44조의3 3항,제44조(채무 소멸),"직상 수급인이 하수급인을 대신하여 임금을 직접 지급한 경우, 그 범위 내에서 하도급 대금 채무는 소멸한 것으로 간주한다.","제44조(채무 소멸) 직상 수급인이 하수급인을 대신하여 임금을 직접 지급한 경우, 그 범위 내에서 하도급 대금 채무는 소멸한 것으로 간주한다."
제45조,제45조,제45조(비상시 지급),"출산, 질병, 재해 등 비상 상황 시 근로자가 청구하면 변제기 전이라도 이미 제공한 근로의 임금을 반드시 지급해야 할 의무가 있다.","제45조(비상시 지급) 출산, 질병, 재해 등 비상 상황 시 근로자가 청구하면 변제기 전이라도 이미 제공한 근로의 임금을 반드시 지급해야 할 의무가 있다."
제46조,제46조 1항,제46조(휴업수당),"사용자의 귀책사유로 휴업하는 경우 평균임금의 70% 이상을 수당으로 지급해야 하며, 사용자는 이를 임의로 미지급할 수 없다.","제46조(휴업수당) 사용자의 귀책사유로 휴업하는 경우 평균임금의 70% 이상을 수당으로 지급해야 하며, 사용자는 이를 임의로 미지급할 수 없다."
제46조,제46조 2항,제46조(수당 감액),부득이한 사유로 사업 계속이 불가능하여 노동위원회 승인을 받은 경우에만 법정 기준보다 낮은 수당을 지급할 수 있다.,제46조(수당 감액) 부득이한 사유로 사업 계속이 불가능하여 노동위원회 승인을 받은 경우에만 법정 기준보다 낮은 수당을 지급할 수 있다.
제47조,제47조,제47조(임금 보장),"도급 근로자에게 근로시간에 따라 일정액의 임금을 보장해야 하며, 사용자는 도급 형식임을 이유로 최저 수입을 박탈할 수 없다.","제47조(임금 보장) 도급 근로자에게 근로시간에 따라 일정액의 임금을 보장해야 하며, 사용자는 도급 형식임을 이유로 최저 수입을 박탈할 수 없다."
제48조,제48조 1항,제48조(임금대장),사용자는 사업장별로 임금대장을 작성하고 임금 산출의 기초가 되는 사항을 빠짐없이 기록하여 보관해야 할 법적 의무가 있다.,제48조(임금대장) 사용자는 사업장별로 임금대장을 작성하고 임금 산출의 기초가 되는 사항을 빠짐없이 기록하여 보관해야 할 법적 의무가 있다.
제48조,제48조 2항,제48조(명세서 교부),"임금 지급 시 구성항목, 계산방법, 공제 내역이 기재된 서면 명세서를 반드시 교부해야 하며 구두 통보로 갈음할 수 없다.","제48조(명세서 교부) 임금 지급 시 구성항목, 계산방법, 공제 내역이 기재된 서면 명세서를 반드시 교부해야 하며 구두 통보로 갈음할 수 없다."
제49조,제49조,제49조(임금 시효),"임금채권은 3년간 행사하지 않으면 시효로 소멸하며, 사용자는 시효 완성 전까지의 지급 의무를 성실히 이행해야 한다.","제49조(임금 시효) 임금채권은 3년간 행사하지 않으면 시효로 소멸하며, 사용자는 시효 완성 전까지의 지급 의무를 성실히 이행해야 한다."
제50조,제50조 1항,제50조(주 근로시간),"1주 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없으며, 사용자는 이를 초과하는 근로를 임의로 강요할 수 없다.","제50조(주 근로시간) 1주 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없으며, 사용자는 이를 초과하는 근로를 임의로 강요할 수 없다."
제50조,제50조 2항,제50조(일 근로시간),"1일 근로시간은 휴게시간을 제외하고 8시간을 초과할 수 없으며, 사용자는 법정 한도 내에서 업무를 지시할 의무가 있다.","제50조(일 근로시간) 1일 근로시간은 휴게시간을 제외하고 8시간을 초과할 수 없으며, 사용자는 법정 한도 내에서 업무를 지시할 의무가 있다."
제50조,제50조 3항,제50조(대기시간),"사용자의 지휘·감독 아래 있는 대기시간 등은 근로시간으로 보며, 이를 휴게시간으로 위장하여 임금을 삭감하는 행위를 금한다.","제50조(대기시간) 사용자의 지휘·감독 아래 있는 대기시간 등은 근로시간으로 보며, 이를 휴게시간으로 위장하여 임금을 삭감하는 행위를 금한다."
제51조,제51조 1항,제51조(탄력근로),취업규칙으로 정한 경우 2주 이내 정산기간 평균 1주 40시간 내에서 특정 주·일에 법정 시간을 초과하여 근로하게 할 수 있다.,제51조(탄력근로) 취업규칙으로 정한 경우 2주 이내 정산기간 평균 1주 40시간 내에서 특정 주·일에 법정 시간을 초과하여 근로하게 할 수 있다.
제51조,제51조 2항 1호,제51조(대상 범위),3개월 이내 탄력 근로 도입 시 대상 근로자의 범위를 서면 합의로 명확히 정해야 하며 사용자가 임의로 확대할 수 없다.,제51조(대상 범위) 3개월 이내 탄력 근로 도입 시 대상 근로자의 범위를 서면 합의로 명확히 정해야 하며 사용자가 임의로 확대할 수 없다.
제51조,제51조 2항 2호,제51조(유효 기간),"탄력적 근로시간제의 유효기간을 반드시 정해야 하며, 합의된 기간을 초과하여 제도를 임의로 연장 운영하는 것을 금지한다.","제51조(유효 기간) 탄력적 근로시간제의 유효기간을 반드시 정해야 하며, 합의된 기간을 초과하여 제도를 임의로 연장 운영하는 것을 금지한다."
제51조,제51조 2항 3호,제51조(일별 시간),"근로일 및 근로일별 근로시간을 사전에 확정해야 하며, 사용자가 당일 임의로 근로시간을 변경하여 통보할 수 없다.","제51조(일별 시간) 근로일 및 근로일별 근로시간을 사전에 확정해야 하며, 사용자가 당일 임의로 근로시간을 변경하여 통보할 수 없다."
제51조,제51조 3항,제51조(장기 탄력),"3개월 초과 탄력 근로 시 1주 평균 40시간을 준수해야 하며, 특정 주 52시간, 특정 일 12시간 한도를 초과할 수 없다.","제51조(장기 탄력) 3개월 초과 탄력 근로 시 1주 평균 40시간을 준수해야 하며, 특정 주 52시간, 특정 일 12시간 한도를 초과할 수 없다."
제51조,제51조 4항,제51조(사후 변경),기확정된 근로시간 변경 시 근로자대표와 협의해야 하며 사용자가 일방적으로 근무 스케줄을 변경하여 강제할 수 없다.,제51조(사후 변경) 기확정된 근로시간 변경 시 근로자대표와 협의해야 하며 사용자가 일방적으로 근무 스케줄을 변경하여 강제할 수 없다.
제51조,제51조 5항,제51조(임금 보전),탄력적 근로제 도입으로 임금 수준이 낮아지지 않도록 보전 방안을 마련하여 고용노동부장관에게 신고할 의무가 있다.,제51조(임금 보전) 탄력적 근로제 도입으로 임금 수준이 낮아지지 않도록 보전 방안을 마련하여 고용노동부장관에게 신고할 의무가 있다.
